TERM	CRN	SUBJ	CRSE	SECT	INSTR_TYPE	DAYS	START_TIME	END_TIME	ROOM_CAP
Fall	30021	ACSE	2001	A	LEC	R	1805	2055	108
Fall	30022	ACSE	2001	A1E	PAN	T	1805	2055	96
Fall	30023	ACSE	3105	A	LEC	W	1805	2055	154
Fall	30024	ACSE	3105	A1E	LAB	W	1435	1725	58
Fall	30025	ACSE	3105	A2E	LAB	W	835	1125	34
Fall	30026	ACSE	3105	A3E	LAB	F	1435	1725	42
Fall	30027	ACSE	3105	A4E	LAB				
Fall	30028	ACSE	3201	A	LEC	TR	1005	1125	66
Fall	30029	ACSE	3201	A1O	LAB	F	1435	1725	120
Fall	30030	ACSE	3201	A2O	LAB				
Fall	30031	ACSE	3207	A	LEC	M	1435	1725	75
Fall	30032	ACSE	3207	A1	LAB	R	1435	1725	35
Fall	30033	ACSE	3207	A2	LAB	F	1135	1425	36
Fall	30034	ACSE	3207	A3	LAB	F	1435	1725	36
Winter	10018	ACSE	3209	A	LEC	T	1135	1425	76
Winter	10019	ACSE	3209	B	LEC	R	1805	2055	96
Winter	10020	ACSE	3209	L1O	PAN	W	835	1125	30
Winter	10021	ACSE	3209	L2O	PAN	W	1435	1725	30
Winter	10022	ACSE	3209	L3O	PAN	R	1135	1425	30
Winter	10023	ACSE	3209	L4O	PAN	F	1135	1425	30
Winter	10024	ACSE	3209	L5O	PAN	R	1435	1725	30
Winter	10025	ACSE	3209	L6O	PAN	W	1135	1425	30
Fall	30035	ACSE	4101	A	LEC	MW	1605	1725	42
Fall	30036	ACSE	4101	A1O	TUT	R	1135	1425	35
Winter	10026	ACSE	4106	A	LEC	T	1435	1725	78
Winter	10027	ACSE	4106	A1E	LAB	R	835	1125	30
Winter	10028	ACSE	4106	A2E	LAB	F	1135	1425	30
Winter	10029	ACSE	4106	A3E	LAB	R	1435	1725	31
Fall	30037	ACSE	4107	A	LEC	F	1135	1425	51
Fall	30039	ACSE	4107	A1	PAN	M	1305	1425	57
Fall	30038	ACSE	4107	A2	PAN	R	1005	1125	40
Winter	10030	ACSE	4601	A	LEC	W	835	1125	56
Winter	10031	ACSE	4601	A1	LAB	W	1135	1425	35
Winter	10032	ACSE	4601	A2	LAB	W	1435	1725	35
Winter	10033	ACSE	4601	A3	LAB	R	1135	1425	34
Fall	30040	ACSE	4918	A	LEC	R	1605	1755	204
Winter	10034	ACSE	4918	A	LEC	R	1605	1755	204
Fall	30041	ACSE	4918	A1	PAN	M	835	1125	133
Winter	10035	ACSE	4918	A1	PAN	M	835	1125	133
Fall	30042	AERO	2001	A	LEC	WF	835	925	134
Winter	10036	AERO	2001	B	LEC	TR	1135	1225	96
Winter	10037	AERO	2001	C	LEC	WF	1335	1425	96
Winter	10038	AERO	2001	D	LEC	TR	1635	1725	98
Fall	30043	AERO	2001	L1	LAB	TR	1805	1955	56
Winter	10039	AERO	2001	L1	LAB	MW	2005	2155	56
Fall	30044	AERO	2001	L2	LAB	MW	1805	1955	56
Winter	10040	AERO	2001	L2	LAB	TR	1905	2055	56
Winter	10041	AERO	3002	A	LEC	WF	835	955	98
Winter	10042	AERO	3002	B	LEC	TR	1435	1555	92
Winter	10043	AERO	3002	L1	LAB	R	835	1125	56
Winter	10044	AERO	3002	L2	LAB	M	1435	1725	56
Winter	10045	AERO	3002	L3	LAB	F	1435	1725	56
Winter	10046	AERO	3002	L4	LAB	T	835	1125	56
Winter	10047	AERO	3101	A	LEC	TR	1605	1725	42
Winter	10048	AERO	3101	A1	TUT	R	1005	1125	34
Fall	30045	AERO	3240	A	LEC	MW	1305	1425	78
Fall	30046	AERO	3240	A1	TUT	M	1135	1225	96
Fall	30047	AERO	3700	A	LEC	TR	1135	1255	102
Fall	30048	AERO	3700	A1	TUT	W	1035	1125	96
Winter	10049	AERO	3841	A	LEC	TR	1605	1725	102
Winter	10050	AERO	3841	L1	LAB	M	1135	1425	40
Winter	10051	AERO	3841	L2	LAB	T	835	1125	35
